tanggal,data
2018-01-15,1000.48
2018-01-19,1001.01
2018-01-24,1001.68
2018-01-29,1002.38
2018-02-05,1003.34
2018-02-09,1003.89
2018-02-14,1004.53
2018-02-20,1005.32
2018-02-26,1006.43
2018-03-02,1007.27
2018-03-07,1008.07
2018-03-13,1008.94
2018-03-19,1009.8
2018-03-23,1010.23
2018-03-28,1010.73
2018-04-03,1011.35
2018-04-09,1012.12
2018-04-13,1012.62
2018-04-19,1013.35
2018-04-24,1013.99
2018-04-30,1014.74
2018-05-04,1015.27
2018-05-11,1015.99
2018-05-15,1016.62
2018-05-21,1017.41
2018-05-25,1017.94
2018-05-31,1018.69
2018-06-05,1019.17
2018-06-20,1021.06
2018-06-21,1021.29
2018-06-26,1022.31
2018-07-02,1023.15
2018-07-09,1024.23
2018-07-12,1024.69
2018-07-17,1025.38
2018-07-23,1026.19
2018-07-30,1027.21
2018-08-02,1027.58
2018-08-07,1028.26
2018-08-13,1029.2
2018-08-20,1030.2
2018-08-23,1030.61
2018-08-28,1030.9
2018-09-03,1031.01
2018-09-10,1031.58
2018-09-13,1030.3
2018-09-18,1031.01
2018-09-24,1032.37
2018-10-01,1033.2
2018-10-04,1033.71
2018-10-10,1034.77
2018-10-15,1035.68
2018-10-22,1036.71
2018-10-25,1037.29
2018-10-31,1038.32
2018-11-05,1039.02
2018-11-12,1040.08
2018-11-15,1040.46
2018-11-21,1041.41
2018-11-26,1042.27
2018-12-03,1043.78
2018-12-07,1044.42
2018-12-12,1045.27
2018-12-17,1046.05
2018-12-26,1047.62
2018-12-28,1047.89
2019-01-02,1048.74
2019-01-07,1049.69
2019-01-14,1050.82
2019-01-18,1051.64
2019-01-23,1052.81
2019-01-28,1053.8
2019-02-04,1054.41
2019-02-08,1055.11
2019-02-13,1055.95
2019-02-18,1056.93
2019-02-25,1058.18
2019-03-01,1059.2
2019-03-06,1060.02
2019-03-11,1060.79
2019-03-18,1062.05
2019-03-22,1062.9
2019-03-27,1063.51
2019-04-02,1063.58
2019-04-08,1064.27
2019-04-12,1065.05
2019-04-18,1066.08
2019-04-23,1067.79
2019-04-29,1068.76
2019-05-03,1069.37
2019-05-08,1070.21
2019-05-14,1071.18
2019-05-20,1072.12
2019-05-24,1072.65
2019-05-31,1073.23
2019-06-10,1074.12
2019-06-14,1074.67
2019-06-20,1076.2
2019-06-25,1076.91
2019-07-01,1077.91
2019-07-05,1078.66
2019-07-11,1079.94
2019-07-16,1080.68
2019-07-22,1081.83
2019-07-29,1083.02
2019-08-01,1083.62
2019-08-06,1085.34
2019-08-12,1087.09
2019-08-19,1088.75
2019-08-22,1089.43
2019-08-27,1090.26
2019-09-02,1091.25
2019-09-09,1092.64
2019-09-12,1093.63
2019-09-17,1094.54
2019-09-23,1095.69
2019-09-30,1097.38
2019-10-03,1098.03
2019-10-08,1099.12
2019-10-14,1100.45
2019-10-21,1101.54
2019-10-24,1102.46
2019-10-29,1103.17
2019-11-04,1104.41
2019-11-11,1105.88
2019-11-14,1106.55
2019-11-20,1107.64
2019-11-25,1108.53
2019-12-02,1109.7
2019-12-05,1110.27
2019-12-11,1111.47
2019-12-16,1112.09
2019-12-23,1113.44
2019-12-26,1114.13
2020-01-02,1115.28
2020-01-06,1115.98
2020-01-13,1116.68
2020-01-16,1117.17
2020-01-22,1118.55
2020-01-27,1119.43
2020-02-03,1120.47
2020-02-05,1121.01
2020-02-07,1121.43
2020-02-10,1122.03
2020-02-12,1122.48
2020-02-13,1122.7
2020-02-17,1123.31
2020-02-20,1124.11
2020-02-24,1124.93
2020-02-28,1125.78
2020-03-03,1126.35
2020-03-04,1126.58
2020-03-06,1126.95
2020-03-09,1127.41
2020-03-10,1127.58
2020-03-16,1128.71
2020-03-18,1128.84
2020-03-20,1129.26
2020-03-23,1129.81
2020-03-26,1130.54
2020-03-30,1131.31
2020-04-02,1131.49
2020-04-06,1132.06
2020-04-09,1133.3
2020-04-13,1133.97
2020-04-15,1134.19
2020-04-17,1134.15
2020-04-20,1134.7
2020-04-24,1135.14
2020-04-27,1135.04
2020-04-28,1135.74
2020-05-04,1136.44
2020-05-05,1136.62
2020-05-06,1136.82
2020-05-11,1137.71
2020-05-13,1138.1
2020-05-18,1138.75
2020-05-20,1138.81
2020-05-26,1139.63
2020-05-27,1139.89
2020-05-28,1136.09
2020-06-02,1136.98
2020-06-04,1137.74
2020-06-08,1138.38
2020-06-12,1138.73
2020-06-15,1138.92
2020-06-17,1138.76
2020-06-19,1138.98
2020-06-23,1139.53
2020-06-29,1139.87
2020-06-30,1139.97
2020-07-03,1140.69
2020-07-06,1141.28
2020-07-08,1141.86
2020-07-13,1143.16
2020-07-14,1143.27
2020-07-15,1143.21
2020-07-20,1144.06
2020-07-23,1144.83
2020-07-24,1145.05
2020-07-27,1145.47
2020-07-30,1145.94
2020-08-03,1145.99
2020-08-04,1146.03
2020-08-07,1146.58
2020-08-10,1147.11
2020-08-14,1147.86
2020-08-18,1148.46
2020-08-24,1149.01
2020-08-25,1148.97
2020-08-31,1147.93
2020-09-02,1147.75
2020-09-04,1147.87
2020-09-07,1148.16
2020-09-09,1147.87
2020-09-10,1147.71
2020-09-14,1147.41
2020-09-15,1147.41
2020-09-17,1149.01
2020-09-21,1148.57
2020-09-24,1148.9
2020-09-28,1149.2
2020-10-01,1148.97
2020-10-02,1149.08
2020-10-05,1149.37
2020-10-06,1150.0
2020-10-09,1150.66
2020-10-12,1151.12
2020-10-13,1151.29
2020-10-19,1152.47
2020-10-20,1152.58
2020-10-22,1152.58
2020-10-26,1153.52
2020-10-27,1153.72
2020-11-02,1154.51
2020-11-04,1155.35
2020-11-09,1156.58
2020-11-12,1157.13
2020-11-16,1157.91
2020-11-17,1157.7
2020-11-19,1158.27
2020-11-23,1158.56
2020-11-27,1158.51
2020-11-30,1159.08
2020-12-01,1158.75
2020-12-03,1159.59
2020-12-04,1159.47
2020-12-08,1159.79
2020-12-14,1160.48
2020-12-15,1160.63
2020-12-21,1160.39
2020-12-23,1159.92
2020-12-28,1160.04
2020-12-29,1160.18
2020-12-30,1160.23
2021-01-04,1160.78
2021-01-07,1160.68
2021-01-11,1160.45
2021-01-14,1161.39
2021-01-18,1161.33
2021-01-20,1161.31
2021-01-22,1161.74
2021-01-25,1162.26
2021-01-26,1162.41
2021-01-29,1163.52
2021-02-01,1163.83
2021-02-02,1163.99
2021-02-04,1164.49
2021-02-08,1164.71
2021-02-10,1164.66
2021-02-15,1165.07
2021-02-17,1164.71
2021-02-22,1165.78
2021-02-24,1166.03
2021-02-25,1166.03
2021-03-01,1167.2
2021-03-03,1167.54
2021-03-04,1167.71
2021-03-08,1168.31
2021-03-12,1168.8
2021-03-15,1169.21
2021-03-19,1168.91
2021-03-23,1169.35
2021-03-24,1169.6
2021-03-26,1170.12
2021-03-29,1170.22
2021-03-30,1170.12
2021-04-05,1170.72
2021-04-07,1171.01
2021-04-09,1171.11
2021-04-12,1171.5
2021-04-14,1171.38
2021-04-19,1172.05
2021-04-22,1172.23
2021-04-26,1172.61
2021-04-29,1172.83
2021-04-30,1172.82
2021-05-03,1173.09
2021-05-05,1173.12
2021-05-06,1173.45
2021-05-10,1173.45
2021-05-17,1174.03
2021-05-18,1173.96
2021-05-21,1174.12
2021-05-25,1174.39
2021-05-27,1174.26
2021-05-31,1174.14
2021-06-02,1174.29
2021-06-07,1173.96
2021-06-09,1174.13
2021-06-11,1173.5
2021-06-14,1174.2
2021-06-16,1174.31
2021-06-17,1174.02
2021-06-21,1174.6
2021-06-24,1178.19
2021-06-28,1178.57
2021-07-02,1178.82
2021-07-05,1179.1
2021-07-07,1179.23
2021-07-09,1179.37
2021-07-13,1179.66
2021-07-19,1179.71
2021-07-21,1179.7
2021-07-23,1179.64
2021-07-26,1180.19
2021-07-28,1181.27
2021-08-02,1182.27
2021-08-03,1182.42
2021-08-04,1182.58
2021-08-09,1183.69
2021-08-12,1184.19
2021-08-13,1184.34
2021-08-16,1184.81
2021-08-18,1185.11
2021-08-19,1185.26
2021-08-23,1185.84
2021-08-24,1185.99
2021-08-27,1186.42
2021-08-30,1186.85
2021-09-03,1187.43
2021-09-07,1188.1
2021-09-09,1188.43
2021-09-13,1189.1
2021-09-14,1189.27
2021-09-20,1190.28
2021-09-22,1190.61
2021-09-24,1190.94
2021-09-27,1191.36
2021-09-29,1191.83
2021-09-30,1191.94
2021-10-04,1192.33
2021-10-05,1192.42
2021-10-07,1192.61
2021-10-11,1193.0
2021-10-14,1193.33
2021-10-15,1193.45
2021-10-18,1193.8
2021-10-21,1194.16
2021-10-22,1194.28
2021-10-25,1194.74
2021-10-26,1194.9
2021-10-29,1195.35
2021-11-01,1195.79
2021-11-02,1196.02
2021-11-05,1196.73
2021-11-08,1197.29
2021-11-09,1197.48
2021-11-11,1197.94
2021-11-15,1198.65
2021-11-16,1198.84
2021-11-17,1198.94
2021-11-22,1199.42
2021-11-24,1199.61
2021-11-29,1200.05
2021-12-02,1200.29
2021-12-06,1200.64
2021-12-07,1200.73
2021-12-09,1200.91
2021-12-13,1201.25
2021-12-17,1201.7
2021-12-20,1201.94
2021-12-23,1202.31
2021-12-24,1202.5
2021-12-28,1202.91
2022-01-03,1203.5
2022-01-04,1203.62
2022-01-10,1204.31
2022-01-12,1204.49
2022-01-13,1204.57
2022-01-17,1204.95
2022-01-18,1205.06
2022-01-19,1205.18
2022-01-24,1205.63
2022-01-27,1206.2
2022-01-31,1207.07
2022-02-02,1207.41
2022-02-03,1207.61
2022-02-07,1208.21
2022-02-08,1208.35
2022-02-10,1208.6
2022-02-11,1208.72
2022-02-14,1209.14
2022-02-15,1209.27
2022-02-17,1209.51
2022-02-18,1209.64
2022-02-21,1210.01
2022-02-22,1210.14
2022-02-24,1210.39
2022-03-01,1211.18
2022-03-02,1211.31
2022-03-07,1211.81
2022-03-09,1212.05
2022-03-11,1212.3
2022-03-14,1212.68
2022-03-16,1212.93
2022-03-17,1213.05
2022-03-18,1213.18
2022-03-21,1213.55
2022-03-23,1213.8
2022-03-24,1213.93
2022-03-25,1214.05
2022-03-28,1214.43
2022-03-29,1214.56
2022-03-31,1214.81
2022-04-01,1215.0
2022-04-04,1215.37
2022-04-05,1215.5
2022-04-07,1215.75
2022-04-08,1215.87
2022-04-11,1216.25
2022-04-12,1216.37
2022-04-13,1216.5
2022-04-14,1216.62
2022-04-18,1217.12
2022-04-19,1217.25
2022-04-21,1217.5
2022-04-25,1218.0
2022-04-27,1218.25
2022-04-28,1218.38
2022-05-09,1219.85
2022-05-11,1220.1
2022-05-12,1220.23
2022-05-13,1220.35
2022-05-17,1220.48
2022-05-18,1220.68
2022-05-19,1220.88
2022-05-20,1221.08
2022-05-23,1221.46
2022-05-24,1221.59
2022-05-25,1221.71
2022-05-27,1221.96
2022-05-30,1222.34
2022-05-31,1222.47
2022-06-02,1222.71
2022-06-03,1222.83
2022-06-06,1223.21
2022-06-07,1223.34
2022-06-09,1223.5
2022-06-10,1223.63
2022-06-13,1224.01
2022-06-14,1224.13
2022-06-15,1224.26
2022-06-16,1224.39
2022-06-20,1224.89
2022-06-22,1225.14
2022-06-23,1225.27
2022-06-27,1225.81
2022-06-29,1226.13
2022-07-01,1226.45
2022-07-04,1226.94
2022-07-06,1227.27
2022-07-07,1227.45
2022-07-08,1227.63
2022-07-11,1228.14
2022-07-13,1228.49
2022-07-14,1228.67
2022-07-15,1228.84
2022-07-18,1229.18
2022-07-20,1229.42
2022-07-22,1229.67
2022-07-25,1230.02
2022-07-26,1230.14
2022-07-27,1230.26
2022-07-29,1230.47
2022-08-01,1230.83
2022-08-02,1230.95
2022-08-04,1231.2
2022-08-05,1231.33
2022-08-08,1231.7
2022-08-09,1231.83
2022-08-11,1232.08
2022-08-12,1232.2
2022-08-15,1232.58
2022-08-16,1232.71
2022-08-18,1232.96
2022-08-22,1233.46
2022-08-24,1233.71
2022-08-25,1233.84
2022-08-29,1234.34
2022-08-31,1234.59
2022-09-01,1234.7
2022-09-02,1234.83
2022-09-05,1235.2
2022-09-07,1235.46
2022-09-08,1235.58
2022-09-09,1235.71
2022-09-12,1236.08
2022-09-13,1236.21
2022-09-14,1236.33
2022-09-16,1236.58
2022-09-19,1236.96
2022-09-20,1237.09
2022-09-23,1237.5
2022-09-26,1237.94
2022-09-27,1238.08
2022-09-28,1238.23
2022-09-29,1238.37
2022-10-03,1238.94
2022-10-04,1239.08
2022-10-06,1239.37
2022-10-10,1239.94
2022-10-11,1240.09
2022-10-12,1240.23
2022-10-13,1240.37
2022-10-14,1240.55
2022-10-17,1240.98
2022-10-19,1241.27
2022-10-20,1241.47
2022-10-24,1242.04
2022-10-25,1242.18
2022-10-26,1242.33
2022-10-27,1242.47
2022-10-31,1243.13
2022-11-02,1243.31
2022-11-03,1243.45
2022-11-04,1243.59
2022-11-07,1244.01
2022-11-09,1244.3
2022-11-10,1244.47
2022-11-11,1244.61
2022-11-14,1245.03
2022-11-15,1245.27
2022-11-16,1245.41
2022-11-18,1245.69
2022-11-21,1246.1
2022-11-22,1246.24
2022-11-25,1246.65
2022-11-28,1247.06
2022-11-29,1247.19
2022-12-01,1247.46
2022-12-05,1248.04
2022-12-06,1248.18
2022-12-07,1248.33
2022-12-08,1248.47
2022-12-12,1249.05
2022-12-13,1249.19
2022-12-14,1249.33
2022-12-15,1249.47
2022-12-16,1249.61
2022-12-19,1250.03
2022-12-22,1250.42
2022-12-26,1250.86
2022-12-27,1250.99
2022-12-28,1251.11
2022-12-29,1251.23
2023-01-02,1251.73
2023-01-04,1252.0
2023-01-06,1252.24
2023-01-09,1252.68
2023-01-11,1252.97
2023-01-12,1253.12
2023-01-13,1253.26
2023-01-16,1253.69
2023-01-17,1253.84
2023-01-18,1253.98
2023-01-20,1254.27
2023-01-24,1254.85
2023-01-27,1255.24
2023-01-30,1255.38
2023-01-31,1255.4
2023-02-01,1255.42
2023-02-02,1255.5
2023-02-06,1255.65
2023-02-07,1255.69
2023-02-08,1255.84
2023-02-09,1255.99
2023-02-13,1256.6
2023-02-16,1257.06
2023-02-20,1257.68
2023-02-22,1257.98
2023-02-23,1258.14
2023-02-27,1258.75
2023-02-28,1258.91
2023-03-01,1259.05
2023-03-03,1259.36
2023-03-06,1259.82
2023-03-07,1259.98
2023-03-08,1260.13
2023-03-10,1260.45
2023-03-13,1261.27
2023-03-14,1261.42
2023-03-15,1261.57
2023-03-16,1261.73
2023-03-17,1261.89
2023-03-20,1262.36
2023-03-21,1262.52
2023-03-24,1262.99
2023-03-27,1263.46
2023-03-28,1263.62
2023-03-29,1263.89
2023-03-30,1264.05
2023-04-03,1264.69
2023-04-04,1264.85
2023-04-05,1265.01
2023-04-06,1265.17
2023-04-10,1265.86
2023-04-11,1266.02
2023-04-13,1266.34
2023-04-17,1266.99
2023-04-26,1268.47
2023-04-27,1268.62
2023-04-28,1268.78
2023-05-02,1269.38
2023-05-03,1269.53
2023-05-05,1269.84
2023-05-08,1270.31
2023-05-09,1270.46
2023-05-10,1270.62
2023-05-12,1270.93
2023-05-15,1271.39
2023-05-17,1271.7
2023-05-19,1272.01
2023-05-22,1272.48
2023-05-23,1272.64
2023-05-24,1272.79
2023-05-26,1273.11
2023-05-29,1273.58
2023-05-30,1273.74
2023-05-31,1273.9
2023-06-05,1274.71
2023-06-06,1274.87
2023-06-08,1275.18
2023-06-12,1275.78
2023-06-13,1275.93
2023-06-14,1276.09
2023-06-15,1276.25
2023-06-19,1276.89
2023-06-22,1277.37
2023-06-23,1277.6
2023-06-26,1278.08
2023-06-27,1278.25
2023-07-03,1279.19
2023-07-04,1279.35
2023-07-05,1279.51
2023-07-07,1279.83
2023-07-10,1280.31
2023-07-12,1280.87
2023-07-14,1281.18
2023-07-17,1281.66
2023-07-18,1281.82
2023-07-20,1282.13
2023-07-21,1282.29
2023-07-24,1282.77
2023-07-25,1282.93
2023-07-26,1283.09
2023-07-27,1283.24
2023-07-31,1283.88
2023-08-01,1284.03
2023-08-03,1284.34
2023-08-07,1284.98
2023-08-08,1285.14
2023-08-10,1285.46
2023-08-11,1285.62
2023-08-14,1286.1
2023-08-16,1286.37
2023-08-18,1286.65
2023-08-21,1287.08
2023-08-22,1287.22
2023-08-23,1287.36
2023-08-25,1287.64
2023-08-28,1288.05
2023-08-29,1288.2
2023-08-30,1288.35
2023-09-01,1288.65
2023-09-04,1289.12
2023-09-06,1289.43
2023-09-08,1289.76
2023-09-11,1290.23
2023-09-13,1290.55
2023-09-15,1290.85
2023-09-18,1291.31
2023-09-19,1291.48
2023-09-21,1291.83
2023-09-22,1292.0
2023-09-25,1292.52
2023-09-26,1292.69
2023-09-27,1292.86
2023-09-29,1293.21
2023-10-02,1293.67
2023-10-03,1293.81
2023-10-05,1294.12
2023-10-06,1294.27
2023-10-09,1294.74
2023-10-10,1294.89
2023-10-12,1295.2
2023-10-13,1295.35
2023-10-16,1295.82
2023-10-17,1295.95
2023-10-18,1296.11
2023-10-19,1296.26
2023-10-23,1296.92
2023-10-24,1297.08
2023-10-25,1297.24
2023-10-30,1298.03
2023-11-01,1298.37
2023-11-03,1298.69
2023-11-06,1299.18
2023-11-08,1299.51
2023-11-10,1299.84
2023-11-13,1300.33
2023-11-14,1300.5
2023-11-15,1300.66
2023-11-16,1300.82
2023-11-17,1300.98
2023-11-20,1301.48
2023-11-21,1301.64
2023-11-23,1301.97
2023-11-24,1302.14
2023-11-27,1302.62
2023-11-28,1302.79
2023-11-29,1302.96
2023-11-30,1303.12
2023-12-01,1303.28
2023-12-04,1303.77
2023-12-05,1303.94
2023-12-07,1304.27
2023-12-08,1304.44
2023-12-11,1304.95
2023-12-12,1305.12
2023-12-14,1305.45
2023-12-15,1305.62
2023-12-18,1306.13
2023-12-19,1306.3
2023-12-20,1306.47
2023-12-27,1307.66
2023-12-29,1308.0
2024-01-02,1308.59
2024-01-03,1308.77
2024-01-05,1309.12
2024-01-08,1309.65
2024-01-10,1310.0
2024-01-11,1310.17
2024-01-12,1310.35
2024-01-15,1310.88
2024-01-16,1311.05
2024-01-18,1311.42
2024-01-19,1311.6
2024-01-22,1312.15
2024-01-23,1312.33
2024-01-25,1312.7
2024-01-26,1312.88
2024-01-29,1313.42
2024-01-30,1313.6
2024-02-01,1313.86
2024-02-02,1314.04
2024-02-05,1314.58
2024-02-06,1314.76
2024-02-12,1315.83
2024-02-13,1316.0
2024-02-15,1316.36
2024-02-16,1316.54
2024-02-19,1317.05
2024-02-21,1317.42
2024-02-22,1317.6
2024-02-26,1318.32
2024-02-27,1318.49
2024-02-28,1318.67
2024-03-01,1319.03
2024-03-04,1319.57
2024-03-06,1319.93
2024-03-07,1320.11
2024-03-08,1320.29
2024-03-13,1321.16
2024-03-14,1321.32
2024-03-15,1321.48
2024-03-18,1322.02
2024-03-19,1322.2
2024-03-22,1322.73
2024-03-25,1323.27
2024-03-26,1323.45
2024-03-28,1323.81
2024-04-01,1324.42
2024-04-02,1324.6
2024-04-04,1324.96
2024-04-16,1327.2
2024-04-17,1327.37
2024-04-18,1327.55
2024-04-22,1328.22
2024-04-24,1328.56
2024-04-25,1328.73
2024-04-29,1329.39
2024-04-30,1329.56
2024-05-02,1329.9
2024-05-03,1330.06
2024-05-06,1330.58
2024-05-08,1330.9
2024-05-13,1331.75
2024-05-14,1331.93
2024-05-16,1332.28
2024-05-17,1332.45
2024-05-20,1332.98
2024-05-21,1333.16
2024-05-27,1334.19
2024-05-28,1334.37
2024-05-30,1334.73
2024-06-03,1335.45
2024-06-04,1335.63
2024-06-05,1335.81
2024-06-06,1335.99
2024-06-10,1336.7
2024-06-11,1336.89
2024-06-12,1337.07
2024-06-13,1337.25
2024-06-19,1338.32
2024-06-24,1339.22
2024-06-26,1339.59
2024-06-27,1339.76
2024-06-28,1339.95
2024-07-01,1340.48
2024-07-03,1340.85
2024-07-04,1341.03
2024-07-05,1341.21
2024-07-08,1341.74
2024-07-10,1342.1
2024-07-12,1342.46
2024-07-15,1343.0
2024-07-16,1343.18
2024-07-18,1343.55
2024-07-19,1343.73
2024-07-22,1344.29
2024-07-23,1344.47
2024-07-24,1344.65
2024-07-25,1344.84
2024-07-29,1345.58
2024-07-30,1345.76
2024-07-31,1345.92
2024-08-01,1346.11
2024-08-05,1346.84
2024-08-06,1347.03
2024-08-07,1347.21
2024-08-08,1347.4
2024-08-12,1348.13
2024-08-14,1348.5
2024-08-15,1348.69
2024-08-19,1349.42
2024-08-21,1349.8
2024-08-22,1349.99
2024-08-26,1350.74
2024-08-28,1351.12
2024-08-29,1351.32
2024-08-30,1351.51
2024-09-02,1352.05
2024-09-04,1352.43
2024-09-06,1352.82
2024-09-09,1353.4
2024-09-10,1353.59
2024-09-11,1353.79
2024-09-13,1354.18
2024-09-17,1354.96
2024-09-20,1355.55
2024-09-23,1356.43
2024-09-24,1356.63
2024-09-25,1356.84
2024-09-26,1357.03
2024-09-30,1357.81
2024-10-01,1358.01
2024-10-02,1358.2
2024-10-03,1358.39
2024-10-07,1359.16
2024-10-10,1359.74
2024-10-11,1359.93
2024-10-14,1360.51
2024-10-16,1360.89
2024-10-17,1361.09
2024-10-21,1361.86
2024-10-23,1362.25
2024-10-25,1362.64
2024-10-28,1363.22
2024-10-30,1363.6
2024-10-31,1363.65
2024-11-01,1363.85
2024-11-04,1364.43
2024-11-05,1364.63
2024-11-06,1364.82
2024-11-07,1365.02
2024-11-08,1365.21
2024-11-11,1365.8
2024-11-12,1366.0
2024-11-13,1366.2
2024-11-14,1366.4
2024-11-15,1366.59
2024-11-18,1367.43
2024-11-19,1367.62
2024-11-20,1367.82
2024-11-21,1368.02
2024-11-22,1368.21
2024-11-25,1368.81
2024-11-26,1369.01
2024-11-28,1369.4
2024-11-29,1369.6
2024-12-02,1370.18
2024-12-03,1370.37
2024-12-04,1370.6
2024-12-05,1370.79
2024-12-06,1370.98
2024-12-09,1371.56
2024-12-10,1371.75
2024-12-11,1371.95
2024-12-12,1372.14
2024-12-13,1372.33
2024-12-16,1372.9
2024-12-17,1373.09
2024-12-18,1373.28
2024-12-19,1373.29
2024-12-20,1373.41
2024-12-23,1373.95
2024-12-24,1374.15
2024-12-27,1374.75
2024-12-30,1375.34
2025-01-02,1375.78
2025-01-03,1375.98
2025-01-06,1376.58
2025-01-07,1376.78
2025-01-08,1376.97
2025-01-09,1377.17
2025-01-10,1377.37
2025-01-13,1377.97
2025-01-14,1378.17
2025-01-15,1378.36
2025-01-16,1378.56
2025-01-17,1378.76
2025-01-20,1379.36
2025-01-21,1379.56
2025-01-22,1379.76
2025-01-23,1379.96
2025-01-24,1380.16
2025-01-30,1381.35
